count,timestamp_ms,aoa_valid,pfd_raw,p45_raw,pfwd_filt,p45_filt,coeff,aoa_raw,aoa_filt
00000,00000000,true,8186,8087,132,-36,-0.27272728,-1.3206038,-0.1320604
00001,00000024,true,7948,7986,132,-36,-0.27272728,-1.3206038,-0.25091475
00002,00000040,true,8054,7992,88,-67.666664,-0.7689394,-8.884058,-1.1142291
00003,00000056,true,8146,8129,89,-59.75,-0.67134833,-7.7265987,-1.7754661
00004,00000072,true,8140,7986,88.4,-74,-0.8371041,-9.596645,-2.557584
00005,00000088,true,8060,8022,74.666664,-83.5,-1.1183037,-11.702759,-3.4721014
00006,00000104,true,8065,8057,65.57143,-86,-1.3115469,-12.372217,-4.362113
00007,00000120,true,8140,7961,68.125,-87.875,-1.2899083,-12.328758,-5.158777
00008,00000136,true,8094,8075,65,-89.333336,-1.374359,-12.4533615,-5.8882356
00009,00000168,true,8117,8129,62.5,-87,-1.392,-12.4641075,-6.5458226
00010,00000184,true,8129,8057,62.545456,-85.09091,-1.3604652,-12.441181,-7.1353583
00011,00000200,true,8042,8081,62.583332,-82,-1.310253,-12.369843,-7.658807
00012,00000216,true,8088,8063,60.846153,-79.38461,-1.3046776,-12.359283,-8.128854
00013,00000232,true,8140,8140,61,-76.71429,-1.2576113,-12.249115,-8.540879
00014,00000248,true,8077,8028,59.2,-75.6,-1.277027,-12.299118,-8.916702
00015,00000264,true,8111,7836,52.666668,-77.2,-1.4658227,-12.451794,-9.270211
00016,00000280,true,8042,8022,46.133335,-81.13333,-1.7586704,-11.491894,-9.492379
00017,00000296,true,8088,7961,48.4,-79.13333,-1.6349862,-12.074827,-9.750624
00018,00000312,true,8129,7937,44.533333,-87.53333,-1.9655689,-9.936455,-9.769207
00019,00000328,true,8111,7980,42.6,-89.6,-2.1032865,-8.498428,-9.642129
00020,00000344,true,8011,7992,44.466667,-90.4,-2.0329835,-9.272736,-9.605189
00021,00000360,true,8280,8117,47.533333,-93.2,-1.9607292,-9.9811325,-9.642784
00022,00000391,true,8140,8045,46.8,-95.2,-2.034188,-9.260174,-9.604524
00023,00000407,true,8042,8075,47.933334,-93.666664,-1.9541029,-10.041664,-9.648237
00024,00000423,true,7948,8010,44.466667,-94.46667,-2.1244378,-8.249065,-9.50832
00025,00000439,true,8303,8081,46,-93.26667,-2.0275364,-9.329224,-9.49041
00026,00000455,true,8117,7812,46,-95.26667,-2.0710146,-8.864277,-9.427796
00027,00000470,true,8030,8146,42.533333,-95.26667,-2.2398121,-6.755188,-9.160536
00028,00000486,true,8152,7954,42.533333,-100,-2.351097,-5.1002502,-8.754507
00029,00000502,true,8181,7931,46.8,-107.26667,-2.292023,-6.004917,-8.4795475
00030,00000519,true,8100,8016,48.733334,-114.53333,-2.3502052,-5.114353,-8.143028
00031,00000535,true,8169,8152,53,-115.333336,-2.1761007,-7.608055,-8.089531
00032,00000550,true,8071,8117,57.266666,-115.73333,-2.0209546,-9.396816,-8.22026
00033,00000566,true,8100,8051,58.066666,-109.73333,-1.8897818,-10.590517,-8.457285
00034,00000582,true,8251,8212,57.333332,-99.333336,-1.7325583,-11.6365795,-8.775214
00035,00000598,true,8135,8152,60.466667,-87.86667,-1.4531423,-12.460487,-9.143742
00036,00000615,true,8011,8111,59.733334,-78.73333,-1.3180803,-12.383778,-9.467745
00037,00000630,true,8054,8105,57.8,-70.8,-1.2249136,-12.150454,-9.736015
00038,00000662,true,8054,8063,54,-66.4,-1.2296296,-12.165802,-9.978994
00039,00000678,true,8065,8123,54.8,-62,-1.1313869,-11.768082,-10.157903
00040,00000694,true,8123,8034,49.066666,-60,-1.2228261,-12.143539,-10.356465
00041,00000710,true,8083,7949,45.6,-58.8,-1.2894737,-12.327805,-10.553599
00042,00000726,true,8065,8051,47.133335,-60.4,-1.281471,-12.309662,-10.729206
00043,00000742,true,8077,7986,44.466667,-58.8,-1.3223388,-12.390923,-10.895377
00044,00000773,true,8181,7883,39.866665,-56.666668,-1.4214047,-12.4702835,-11.052868
00045,00000804,true,8123,8063,37.6,-54.533333,-1.4503547,-12.462032,-11.193785
00046,00000836,true,8030,8022,32.6,-54.133335,-1.6605319,-11.975698,-11.2719755
00047,00000852,true,8048,8105,27.6,-53.733334,-1.9468598,-10.106979,-11.155476
00048,00000868,true,8042,8028,24.133333,-55.266666,-2.2900553,-6.0340347,-10.643331
00049,00000884,true,8106,8034,20.666666,-60.8,-2.9419355,7.2059326,-8.858404
00050,00000916,true,8071,8022,14.866667,-69.066666,-4.64574,75.86454,-0.38610983
00051,00000932,true,8117,8051,12.933333,-74.6,-5.768041,148.00082,14.452583
00052,00000948,true,8048,8051,11,-79.73333,-7.2484846,275.8494,40.592262
00053,00000964,true,8065,8093,12.133333,-83.73333,-6.9010987,242.5102,60.784058
00054,00000980,true,8077,8045,13.266666,-87.73333,-6.6130652,216.41995,76.34765
00055,00000996,true,8048,8087,14,-91.333336,-6.52381,208.62088,89.574974
00056,00001012,true,8088,7986,14,-92.13333,-6.580952,213.59839,101.97732
00057,00001028,true,8000,7961,14,-92.53333,-6.609524,216.10791,113.39038
00058,00001044,true,8077,8034,14,-92.53333,-6.609524,216.10791,123.66213
00059,00001059,true,8077,8158,13.6,-89.333336,-6.5686274,212.52008,132.54793
00060,00001076,true,8060,8105,13.2,-86.13333,-6.5252523,208.74585,140.16771
00061,00001091,true,7977,7901,12.066667,-85.333336,-7.0718236,258.63904,152.01483
00062,00001107,true,8100,8022,12.066667,-84.53333,-7.0055246,252.31686,162.04503
00063,00001123,true,8054,8140,12.866667,-79.4,-6.1709847,179.11462,163.75198
00064,00001138,true,8111,8057,13.666667,-77.86667,-5.697561,142.8417,161.66095
00065,00001170,true,8158,8099,17.133333,-75.933334,-4.4319067,64.54444,151.9493
00066,00001186,true,8129,8010,19.8,-74.4,-3.757576,33.92762,140.14713
00067,00001202,true,8060,8093,22.466667,-70.46667,-3.1364985,12.554871,127.38789
00068,00001218,true,8106,8111,25.133333,-67.666664,-2.6923077,1.2839241,114.7775
00069,00001234,true,8042,7949,27.466667,-64.86667,-2.3616505,-4.932396,102.8065
00070,00001250,true,8071,8123,27.866667,-62.066666,-2.2272727,-6.9284897,91.833
00071,00001282,true,8175,8176,28.266666,-58.066666,-2.0542452,-9.047409,81.74496
00072,00001297,true,8111,8081,31,-53.666668,-1.7311828,-11.643883,72.40607
00073,00001329,true,8129,8028,33.266666,-50.533333,-1.5190381,-12.385557,63.926903
00074,00001346,true,8065,8129,35.533333,-44.6,-1.2551595,-12.242348,56.309975
00075,00001362,true,8065,8129,37.8,-38.266666,-1.0123457,-11.066703,49.572304
00076,00001378,true,8037,8075,38.133335,-35.133335,-0.92132866,-10.368225,43.578247
00077,00001394,true,8088,8034,37.333332,-32.4,-0.8678572,-9.892326,38.23119
00078,00001425,true,8117,7949,37.666668,-34.4,-0.91327435,-10.299644,33.378105
00079,00001461,true,8023,7961,38,-35.933334,-0.94561404,-10.568344,28.98346
00080,00001491,true,8065,8093,35.666668,-37.466667,-1.0504673,-11.317484,24.953365
00081,00001523,true,8042,8164,32.6,-39,-1.1963191,-12.049301,21.2531
00082,00001539,true,8042,7980,28,-46.533333,-1.6619047,-11.970058,17.930782
00083,00001555,true,8011,7992,23.4,-53.266666,-2.2763534,-6.234951,15.514208
00084,00001571,true,8227,8188,19.133333,-53.266666,-2.783972,3.3356552,14.296352
00085,00001587,true,8048,8040,17.2,-56.8,-3.3023255,17.62085,14.628801
00086,00001603,true,8140,8075,15.666667,-61.533333,-3.9276595,40.922302,17.258152
00087,00001618,true,8054,8028,12.2,-66.26667,-5.4316945,124.13912,27.946249
00088,00001635,true,8065,8063,9.133333,-67.46667,-7.3868613,289.69998,54.12162
00089,00001666,true,8088,7986,6.0666666,-73,-12.032968,943.3474,143.04419
00090,00001682,true,8037,8063,3,-77.4,-25.800001,5030.9644,631.8362
00091,00001698,true,8077,7931,3,-80.933334,-26.977777,5530.003,1121.6528
00092,00001713,true,8209,7986,3.8,-86.86667,-22.85965,3887.8372,1398.2712
00093,00001729,true,8175,7919,5.3333335,-92.8,-17.4,2154.3838,1473.8824
00094,00001745,true,8023,8004,6.133333,-96,-15.652174,1706.3274,1497.1268
00095,00001761,true,8083,7967,7.3333335,-100.46667,-13.7,1267.17,1474.1311
00096,00001792,true,8071,8158,8.533334,-103.666664,-12.148437,964.2573,1423.1438
00097,00001809,true,8117,7986,11.266666,-103.26667,-9.165681,496.68277,1330.4977
00098,00001824,true,8077,7967,13.6,-103.666664,-7.6225486,314.0387,1228.8518
00099,00001856,true,8083,7998,16.333334,-110.8,-6.7836733,231.70374,1129.137
00100,00001887,true,8083,8045,19.066668,-113.6,-5.9580417,162.32864,1032.4562
00101,00001903,true,8060,8123,21.4,-116.4,-5.4392524,124.65423,941.6759
00102,00001935,true,8175,8034,23.333334,-116.8,-5.0057144,96.67372,857.17566
00103,00001950,true,8181,8093,24.533333,-118,-4.8097825,85.074684,779.9655
00104,00001968,true,8158,8152,30.733334,-114.46667,-3.7245119,32.624847,705.23145
00105,00001984,true,8023,7986,36.933334,-112.46667,-3.0451262,9.9628525,635.7046
00106,00002000,true,8094,8063,43.133335,-110.13333,-2.5533228,-1.5550003,571.9786
00107,00002016,true,8106,8063,45.066666,-105,-2.3298817,-5.431961,514.2375
