count,timestamp_ms,aoa_valid,pfd_raw,p45_raw,pfwd_filt,p45_filt,coeff,aoa_raw,aoa_filt
0,0,true,8065,8152,25,37,1.48,0.48,0.74
1,31,true,8077,8146,31,37,1.1935484,0.19354838,0.5967742
2,63,true,8030,8134,29,35,1.2068965,0.20689656,0.6034483
3,78,true,8048,8140,28,34,1.2142857,0.21428572,0.60714287
4,94,true,8065,8146,27.4,33.4,1.2189782,0.21897818,0.6094891
5,110,true,8071,8146,27,33,1.2222222,0.22222222,0.6111111
6,143,true,8048,8146,24.285715,32.714287,1.3470588,0.34705883,0.6735294
7,174,true,8037,8152,22.25,32.5,1.4606742,0.46067417,0.7303371
8,205,true,8071,8158,22.555555,32.333332,1.4334975,0.4334975,0.7167488
9,236,true,8071,8146,23.4,32.2,1.3760685,0.37606844,0.68803424
10,268,true,8060,8134,23.09091,32.090908,1.3897637,0.38976368,0.69488186
11,284,true,8060,8140,22.833334,32,1.4014598,0.4014598,0.7007299
12,300,true,7994,8123,22.615385,31.461538,1.3911564,0.39115644,0.6955782
13,315,true,8011,8123,22.428572,30.571428,1.3630573,0.3630573,0.6815286
14,331,true,8065,8140,22.266666,29.8,1.3383234,0.33832332,0.6691617
15,363,true,8042,8146,20.733334,29,1.3987138,0.3987138,0.6993569
16,394,true,8037,8134,18.066668,27.8,1.5387453,0.5387453,0.76937264
17,410,true,8054,8146,16.533333,27.4,1.657258,0.6572581,0.828629
18,427,true,8006,8123,15,27,1.8,0.8,0.9
19,458,true,8054,8152,13.466666,27,2.0049505,1.0049505,1.0024753
20,474,true,8065,8164,12.733334,27,2.1204188,1.1204188,1.0602094
21,490,true,8060,8146,13.133333,27,2.0558376,1.0558376,1.0279188
22,506,true,8071,8158,13.933333,27.4,1.9665072,0.96650714,0.9832536
23,537,true,8042,8123,13.6,27.8,2.0441175,1.0441176,1.0220587
24,552,true,8006,8093,12.866667,27.8,2.1606216,1.1606216,1.0803108
25,568,true,8037,8111,11.666667,26.266666,2.2514286,1.2514285,1.1257143
26,583,true,8042,8140,10.466666,24.733334,2.3630574,1.3630575,1.1815287
27,599,true,8030,8146,8.933333,23.6,2.641791,1.6417911,1.3208956
28,615,true,8048,8152,7.4,24,3.2432432,2.2432432,1.6216216
29,631,true,8071,8129,6.2,24.4,3.935484,2.9354842,1.967742
30,646,true,8048,8146,6.6,24.8,3.7575758,2.7575755,1.8787879
31,662,true,8017,8140,7.3333335,25.6,3.490909,2.490909,1.7454545
32,678,true,8042,8134,7.733333,25.6,3.310345,2.310345,1.6551725
33,694,true,8042,8146,7.733333,25.6,3.310345,2.310345,1.6551725
34,710,true,8030,8140,7.733333,25.2,3.258621,2.2586207,1.6293105
35,725,true,8054,8152,6.9333334,24.8,3.576923,2.576923,1.7884614
36,741,true,8065,8158,6.133333,24.8,4.043478,3.0434783,2.021739
37,757,true,8048,8146,5.3333335,24.4,4.575,3.5749998,2.2875
38,773,true,8060,8152,4.9333334,24.4,4.9459457,3.945946,2.4729729
39,788,true,8054,8152,4.5333333,24.8,5.470588,4.470588,2.735294
40,804,true,8054,8158,5.3333335,26.733334,5.0125,4.0125,2.50625
41,820,true,8065,8158,6.133333,28.666666,4.673913,3.673913,2.3369565
42,836,true,8054,8140,7.266667,30.6,4.211009,3.2110093,2.1055045
43,852,true,8017,8117,8.4,31.4,3.7380953,2.7380953,1.8690476
44,867,true,8023,8105,9.2,31.4,3.4130435,2.4130435,1.7065217
45,883,true,8017,8111,7.5333333,29.466667,3.9115045,2.9115045,1.9557523
46,898,true,8071,8152,5.866667,27.533333,4.6931815,3.6931815,2.3465908
47,914,true,8077,8158,4.2,26,6.1904764,5.1904764,3.0952382
48,930,true,8077,8158,6.133333,26.8,4.369565,3.3695652,2.1847825
49,946,true,8071,8146,8.066667,27.6,3.4214876,2.4214876,1.7107438
50,962,true,8054,8129,10,28.4,2.84,1.8399999,1.42
51,978,true,8017,8117,11.933333,28.4,2.3798883,1.3798883,1.1899441
52,994,true,8030,8134,12.333333,27.6,2.237838,1.2378379,1.118919
53,1010,true,8054,8146,12.333333,26.4,2.1405406,1.1405406,1.0702703
54,1026,true,8060,8146,12.333333,25.2,2.0432434,1.0432434,1.0216217
55,1041,true,8077,8164,12.333333,24.8,2.0108109,1.0108109,1.0054054
56,1057,true,8088,8146,12.733334,24.4,1.9162303,0.9162303,0.95811516
57,1073,true,8060,8140,13.133333,24,1.8274112,0.8274112,0.9137056
58,1089,true,8042,8123,13.533334,23.6,1.7438424,0.74384236,0.8719212
59,1105,true,8011,8111,13.933333,23.6,1.69378,0.69377995,0.84689
60,1121,true,8023,8134,15.2,24.733334,1.627193,0.62719303,0.8135965
61,1136,true,8071,8146,16.466667,25.866667,1.5708501,0.57085013,0.78542507
62,1152,true,8060,8152,17.733334,27,1.5225564,0.52255636,0.7612782
63,1168,true,8065,8146,17,26.6,1.5647058,0.5647059,0.7823529
64,1184,true,8083,8146,16.6,26.2,1.5783132,0.5783133,0.7891566
65,1200,true,8065,8134,16.2,25.8,1.5925925,0.5925925,0.79629624
66,1216,true,8023,8117,15.8,25.8,1.6329113,0.6329113,0.81645566
67,1231,true,8006,8123,16.533333,25.8,1.5604838,0.5604839,0.7802419
