count,timestamp_ms,aoa_valid,pfd_raw,p45_raw,pfwd_filt,p45_filt,coeff,aoa_raw,aoa_filt
0,0,true,8042,8134,2,19,0.10526316,0.8947368,0.9047619
1,28,true,8042,8129,2,19,0.10526316,0.8947368,0.9047619
2,44,true,8042,8129,2,17.333334,0.11538461,0.88461536,0.8965517
3,60,true,8042,8123,2,16.5,0.121212125,0.8787879,0.8918919
4,75,true,8037,8129,2,16,0.125,0.875,0.8888889
5,91,true,8037,8129,2,15.666667,0.12765957,0.87234044,0.8867924
6,107,true,8037,8129,1.2857143,15.428572,0.08333333,0.9166667,0.92307687
7,123,true,8037,8129,0.75,15.25,0.04918033,0.9508197,0.953125
8,138,true,8037,8129,0.33333334,15.111111,0.022058824,0.9779412,0.9784173
9,154,false,8037,8123,0,15,0,0,0
10,170,false,8037,8129,-0.27272728,14.909091,0,0,0
11,186,false,8030,8129,-0.5,14.833333,0,0,0
12,202,false,8037,8134,-0.6923077,14.769231,0,0,0
13,217,false,8037,8129,-0.85714287,14.714286,0,0,0
14,233,false,8037,8129,-1,14.666667,0,0,0
15,249,false,8037,8129,-1.3333334,14.333333,0,0,0
16,265,false,8030,8134,-1.6666666,14,0,0,0
17,280,false,8030,8123,-2,14,0,0,0
18,296,false,8030,8123,-2.8,14,0,0,0
19,312,false,8042,8129,-3.6,14,0,0,0
20,328,false,8042,8129,-4.4,14,0,0,0
21,343,false,8042,8123,-4.0666666,13.6,0,0,0
22,359,false,8042,8129,-3.7333333,13.6,0,0,0
23,375,false,8037,8129,-3.4,13.6,0,0,0
24,391,false,8037,8129,-3.0666666,13.6,0,0,0
25,407,false,8037,8134,-3.0666666,13.6,0,0,0
26,423,false,8037,8129,-3.0666666,13.6,0,0,0
27,439,false,8037,8129,-3.0666666,13.6,0,0,0
28,455,false,8042,8129,-3.0666666,13.6,0,0,0
29,485,false,8037,8129,-3.0666666,13.6,0,0,0
30,501,false,8037,8129,-3.0666666,13.6,0,0,0
31,517,false,8037,8129,-3.0666666,13.6,0,0,0
32,533,false,8037,8129,-3.0666666,13.6,0,0,0
33,549,false,8037,8129,-2.6,13.6,0,0,0
34,564,false,8037,8129,-2.1333334,13.6,0,0,0
35,580,false,8037,8129,-1.6666666,13.6,0,0,0
36,596,false,8037,8129,-2,14,0,0,0
37,612,false,8042,8129,-2.3333333,14,0,0,0
38,627,false,8042,8129,-2.6666667,14,0,0,0
39,644,false,8042,8129,-2.6666667,14,0,0,0
40,660,false,8037,8129,-2.3333333,14,0,0,0
41,675,false,8042,8129,-2,14,0,0,0
42,692,false,8048,8129,-1.6666666,14,0,0,0
43,707,false,8042,8129,-1.3333334,14,0,0,0
44,723,false,8037,8129,-1,14,0,0,0
45,739,false,8037,8129,-0.6666667,14,0,0,0
46,755,false,8037,8129,-0.6666667,14,0,0,0
47,770,false,8037,8129,-0.6666667,14,0,0,0
48,786,false,8037,8129,-0.6666667,14,0,0,0
49,801,false,8037,8129,-0.6666667,14,0,0,0
50,817,false,8042,8129,-0.6666667,14,0,0,0
51,833,false,8042,8123,-0.6666667,14,0,0,0
52,849,false,8042,8129,-0.33333334,14,0,0,0
53,864,false,8042,8134,0,14,0,0,0
54,880,false,8042,8129,0,14,0,0,0
55,896,false,8042,8129,0,14,0,0,0
56,912,false,8037,8129,0,14,0,0,0
57,928,false,8037,8129,0,14,0,0,0
58,944,false,8037,8129,-0.33333334,14,0,0,0
59,959,false,8037,8123,-0.6666667,14,0,0,0
60,975,false,8030,8123,-1,14,0,0,0
61,990,false,8037,8129,-1,14,0,0,0
62,1006,false,8042,8129,-1,14,0,0,0
63,1022,false,8042,8129,-1,14,0,0,0
64,1038,false,8042,8129,-0.6666667,14,0,0,0
65,1053,false,8048,8129,-0.33333334,14,0,0,0
66,1069,false,8042,8129,0,14,0,0,0
67,1085,false,8042,8129,0,14,0,0,0
68,1101,false,8048,8129,0,14,0,0,0
69,1117,false,8037,8123,0,14,0,0,0
70,1133,false,8037,8129,0,14,0,0,0
71,1149,false,8037,8129,-0.33333334,14,0,0,0
72,1165,false,8037,8129,-0.6666667,14,0,0,0
73,1180,false,8037,8129,-0.6666667,14,0,0,0
74,1196,false,8037,8129,-0.6666667,14,0,0,0
75,1212,false,8037,8129,-0.6666667,14,0,0,0
76,1228,false,8042,8129,-0.6666667,14,0,0,0
77,1243,false,8037,8129,-0.6666667,14,0,0,0
78,1259,false,8037,8129,-0.6666667,14,0,0,0
79,1275,false,8042,8123,-1,14,0,0,0
80,1290,false,8037,8129,-1.3333334,14,0,0,0
81,1306,false,8037,8129,-1.6666666,14,0,0,0
82,1322,false,8042,8129,-2,14,0,0,0
83,1338,false,8042,8129,-2,14,0,0,0
84,1354,false,8030,8129,-2.3333333,14,0,0,0
85,1370,false,8037,8129,-2.6666667,14,0,0,0
86,1385,false,8037,8129,-2.6666667,14,0,0,0
87,1401,false,8042,8129,-2.6666667,14,0,0,0
88,1417,false,8037,8129,-2.6666667,14,0,0,0
89,1433,false,8037,8123,-2.6666667,14,0,0,0
90,1448,false,8037,8129,-2.6666667,14,0,0,0
91,1464,false,8042,8134,-2.6666667,14,0,0,0
92,1480,false,8037,8129,-2.6666667,14,0,0,0
93,1496,false,8030,8129,-2.6666667,14,0,0,0
94,1511,false,8037,8129,-2.6666667,14,0,0,0
95,1527,false,8037,8129,-2.6666667,14,0,0,0
96,1543,false,8037,8129,-2.6666667,14,0,0,0
97,1559,false,8037,8129,-2.6666667,14,0,0,0
98,1574,false,8037,8134,-3,14,0,0,0
99,1590,false,8037,8129,-3,14,0,0,0
100,1606,false,8037,8129,-3,14,0,0,0
101,1622,false,8042,8129,-3,14,0,0,0
102,1638,false,8037,8129,-3,14,0,0,0
103,1653,false,8037,8129,-3,14,0,0,0
104,1669,false,8037,8123,-3,14,0,0,0
105,1685,false,8037,8129,-3,14,0,0,0
106,1701,false,8042,8134,-3,14,0,0,0
107,1717,false,8042,8134,-3,14,0,0,0
108,1733,false,8042,8129,-2.6666667,14,0,0,0
109,1748,false,8042,8129,-2.3333333,14,0,0,0
110,1764,false,8042,8129,-2,14,0,0,0
111,1780,false,8037,8117,-1.6666666,14,0,0,0
112,1796,false,8042,8123,-1.3333334,14,0,0,0
113,1812,false,8042,8123,-1,13.6,0,0,0
114,1827,false,8042,8123,-0.6666667,13.2,0,0,0
115,1843,false,8042,8123,-0.33333334,12.8,0,0,0
116,1859,false,8048,8123,0,12.4,0,0,0
117,1875,true,8042,8129,0.33333334,12,0.027777778,0.97222227,0.972973
118,1891,true,8037,8129,0.6666667,11.6,0.057471264,0.9425287,0.9456521
119,1907,true,8042,8134,1,11.6,0.08620689,0.9137931,0.9206349
120,1923,true,8042,8129,1.3333334,11.6,0.11494253,0.8850575,0.89690727
121,1939,true,8042,8129,1.6666666,11.6,0.14367816,0.8563218,0.8743718
122,1955,true,8042,8129,2,11.6,0.17241378,0.82758623,0.85294116
123,1971,true,8037,8129,2,11.6,0.17241378,0.82758623,0.85294116
124,1987,true,8042,8129,2,11.6,0.17241378,0.82758623,0.85294116
125,2003,true,8042,8129,2,11.6,0.17241378,0.82758623,0.85294116
126,2019,true,8042,8123,2,11.6,0.17241378,0.82758623,0.85294116
127,2034,true,8042,8129,2,11.6,0.17241378,0.82758623,0.85294116
128,2050,true,8042,8129,2,12,0.16666667,0.8333333,0.85714287
129,2066,true,8042,8129,2,12.4,0.16129033,0.83870965,0.8611111
130,2082,true,8042,8129,2,12.8,0.15625,0.84375,0.8648649
131,2098,true,8042,8129,2,13.2,0.15151516,0.8484849,0.8684211
132,2113,true,8042,8129,2,13.6,0.14705881,0.85294116,0.8717949
133,2129,true,8042,8129,2,14,0.14285715,0.85714287,0.875
134,2145,true,8042,8129,2,14,0.14285715,0.85714287,0.875
135,2161,true,8042,8129,2,14,0.14285715,0.85714287,0.875
136,2177,true,8042,8129,2,14,0.14285715,0.85714287,0.875
137,2193,true,8042,8129,2,14,0.14285715,0.85714287,0.875
138,2209,true,8042,8129,2,14,0.14285715,0.85714287,0.875
139,2225,true,8042,8129,2,14,0.14285715,0.85714287,0.875
140,2240,true,8037,8129,2,14,0.14285715,0.85714287,0.875
141,2256,true,8042,8129,2,14,0.14285715,0.85714287,0.875
142,2272,true,8037,8129,2,14,0.14285715,0.85714287,0.875
143,2288,true,8037,8134,1.6666666,14,0.11904762,0.88095236,0.893617
144,2304,true,8037,8129,1.3333334,14,0.0952381,0.9047619,0.9130435
145,2320,true,8037,8129,1,14,0.071428575,0.9285714,0.93333334
146,2336,true,8042,8129,0.6666667,14,0.04761905,0.95238096,0.95454544
147,2352,true,8042,8129,0.33333334,14,0.023809524,0.9761905,0.97674423
148,2368,true,8042,8129,0.33333334,14,0.023809524,0.9761905,0.97674423
149,2384,true,8042,8129,0.33333334,14,0.023809524,0.9761905,0.97674423
150,2400,true,8042,8129,0.33333334,14,0.023809524,0.9761905,0.97674423
151,2416,true,8048,8129,0.33333334,14,0.023809524,0.9761905,0.97674423
152,2432,true,8048,8123,0.33333334,14,0.023809524,0.9761905,0.97674423
153,2447,true,8042,8129,0.33333334,14,0.023809524,0.9761905,0.97674423
154,2463,true,8042,8129,0.33333334,14,0.023809524,0.9761905,0.97674423
155,2479,true,8042,8129,0.33333334,14,0.023809524,0.9761905,0.97674423
156,2495,true,8037,8129,0.33333334,14,0.023809524,0.9761905,0.97674423
157,2511,true,8042,8129,0.33333334,14,0.023809524,0.9761905,0.97674423
158,2527,true,8042,8123,0.6666667,14,0.04761905,0.95238096,0.95454544
159,2543,true,8042,8123,1,14,0.071428575,0.9285714,0.93333334
160,2559,true,8042,8123,1.3333334,13.6,0.09803922,0.9019608,0.9107143
161,2575,true,8042,8123,1.6666666,13.2,0.12626262,0.87373734,0.88789237
162,2590,true,8042,8129,2,12.8,0.15625,0.84375,0.8648649
163,2606,true,8042,8129,2,12.4,0.16129033,0.83870965,0.8611111
164,2622,true,8042,8129,2,12.4,0.16129033,0.83870965,0.8611111
165,2638,true,8037,8129,2,12.4,0.16129033,0.83870965,0.8611111
166,2654,true,8037,8129,2,12.4,0.16129033,0.83870965,0.8611111
167,2670,true,8037,8129,1.6666666,12.4,0.13440861,0.86559135,0.8815166
168,2685,true,8037,8129,1.3333334,12.4,0.10752689,0.89247316,0.9029126
169,2701,true,8037,8134,1,12.4,0.08064517,0.91935486,0.92537314
170,2717,true,8037,8129,0.6666667,12.4,0.053763445,0.94623655,0.94897956
171,2733,true,8037,8129,0.33333334,12.4,0.026881723,0.9731183,0.973822
172,2749,false,8037,8129,0,12.4,0,0,0
173,2765,false,8042,8129,-0.33333334,12.4,0,0,0
174,2781,false,8042,8129,-0.6666667,12.4,0,0,0
175,2796,false,8037,8129,-1,12.8,0,0,0
176,2812,false,8037,8129,-1.3333334,13.2,0,0,0
177,2828,false,8030,8129,-1.6666666,13.6,0,0,0
178,2844,false,8030,8129,-2,14,0,0,0
179,2859,false,8037,8129,-2.3333333,14,0,0,0
180,2875,false,8030,8129,-3.1333334,14,0,0,0
181,2891,false,8030,8134,-3.9333334,14,0,0,0
182,2907,false,8037,8129,-4.4,14,0,0,0
183,2923,false,8037,8129,-4.4,14,0,0,0
184,2938,false,8042,8129,-4.4,14,0,0,0
185,2954,false,8042,8123,-4.4,14,0,0,0
186,2970,false,8042,8129,-4.0666666,14,0,0,0
187,2986,false,8042,8129,-3.7333333,14,0,0,0
188,3002,false,8042,8129,-3.4,14,0,0,0
189,3018,false,8042,8129,-3.0666666,14,0,0,0
190,3034,false,8042,8129,-2.7333333,14,0,0,0
191,3049,false,8042,8129,-2.4,14,0,0,0
192,3065,false,8037,8129,-2.0666666,14,0,0,0
193,3081,false,8037,8129,-1.7333333,14,0,0,0
194,3097,false,8037,8129,-1.7333333,14,0,0,0
195,3113,false,8037,8129,-1.2666667,14,0,0,0
196,3129,false,8037,8129,-0.8,14,0,0,0
197,3145,false,8042,8129,-0.33333334,14,0,0,0
198,3161,false,8042,8123,-0.33333334,14,0,0,0
199,3177,false,8042,8117,0,14,0,0,0
200,3193,true,8042,8123,0.33333334,13.6,0.024509804,0.9754902,0.9760766
201,3209,true,8042,8123,0.33333334,13.2,0.025252527,0.9747475,0.97536945
202,3225,true,8042,8117,0.33333334,12.8,0.026041668,0.9739584,0.9746193
203,3241,true,8037,8123,0.33333334,12.4,0.026881723,0.9731183,0.973822
204,3257,true,8037,8129,0.33333334,12,0.027777778,0.97222227,0.972973
205,3273,true,8042,8129,0.33333334,11.6,0.028735632,0.9712644,0.97206706
206,3289,false,8037,8129,0,11.6,0,0,0
207,3304,false,8037,8123,-0.33333334,11.6,0,0,0
208,3320,false,8037,8129,-0.6666667,11.6,0,0,0
209,3336,false,8042,8123,-0.6666667,11.6,0,0,0
210,3352,false,8042,8129,-0.6666667,11.6,0,0,0
211,3368,false,8037,8134,-0.6666667,11.6,0,0,0
212,3383,false,8042,8129,-0.33333334,11.6,0,0,0
213,3399,false,8037,8129,0,11.6,0,0,0
214,3415,false,8042,8129,0,11.6,0,0,0
215,3431,false,8037,8129,-0.33333334,12,0,0,0
216,3447,false,8042,8129,-0.33333334,12.4,0,0,0
217,3462,false,8042,8129,-0.33333334,12.8,0,0,0
218,3478,false,8042,8123,-0.33333334,13.2,0,0,0
219,3494,false,8042,8129,-0.33333334,13.6,0,0,0
220,3510,false,8048,8123,-0.33333334,14,0,0,0
221,3526,false,8042,8129,0,14,0,0,0
