count,timestamp_ms,aoa_valid,pfd_raw,p45_raw,pfwd_filt,p45_filt,coeff,aoa_raw,aoa_filt
0,0,true,8060,8123,20,8,2.5,-1.5,0.2857143
1,28,true,8054,8123,20,8,2.5,-1.5,0.2857143
2,44,true,8048,8111,18,8,2.25,-1.25,0.30769232
3,60,true,8048,8117,17,8,2.125,-1.125,0.32
4,76,true,8054,8111,16.4,6.8,2.4117646,-1.4117646,0.29310346
5,91,true,8054,8117,16,6,2.6666667,-1.6666666,0.27272728
6,107,true,8048,8111,14.857142,4.571429,3.2499998,-2.2499998,0.23529412
7,123,true,8048,8117,14,4.25,3.2941177,-2.2941177,0.23287672
8,140,true,8048,8111,13.333333,3.3333333,4,-3,0.2
9,155,true,8048,8111,12.8,2.6,4.923077,-3.9230773,0.16883117
10,171,true,8048,8111,12.363636,2,6.181818,-5.181818,0.1392405
11,187,true,8054,8111,12,1.5,8,-7,0.11111111
12,202,true,8054,8111,11.692307,1.0769231,10.857142,-9.8571415,0.08433735
13,218,true,8048,8111,11.428572,0.71428573,16,-15,0.05882353
14,234,true,8054,8111,11.6,0.4,29,-28.000002,0.033333335
15,250,true,8048,8117,11.2,-0.4,-28,28.999998,-0.037037037
16,266,true,8054,8117,10.8,-1.2,-9,10,-0.125
17,281,true,8048,8123,10.4,-1.6,-6.4999995,7.5,-0.1818182
18,297,true,8048,8123,10,-2,-5,6,-0.25
19,313,true,8054,8117,9.6,-2,-4.8,5.8,-0.26315787
20,329,true,8042,8123,9.2,-1.6,-5.75,6.75,-0.21052632
21,345,true,8042,8123,9.2,-0.8,-11.5,12.5,-0.095238104
22,361,true,8042,8111,8.8,-0.4,-22,23,-0.047619045
23,377,true,8037,8111,8.4,0,inf,-inf,0
24,393,true,8042,8123,8,0.8,10,-9,0.09090909
25,409,true,8042,8111,7.6,0.8,9.5,-8.499999,0.095238104
26,425,true,8042,8117,7.2,0.8,9,-7.9999995,0.1
27,441,true,8048,8117,6.8,1.2,5.6666665,-4.666667,0.15
28,457,true,8048,8123,6.4,1.6,4,-3,0.2
29,473,true,8060,8111,6,2,3,-2,0.25
30,489,true,8048,8111,5.6,2.4,2.3333333,-1.3333333,0.3
31,505,true,8048,8111,5.2,2.4,2.1666665,-1.1666665,0.3157895
32,521,true,8054,8111,5.2,2,2.6,-1.5999999,0.2777778
33,537,true,8042,8123,5.2,1.6,3.2499998,-2.25,0.23529413
34,552,true,8042,8111,5.2,1.2,4.333333,-3.333333,0.18750001
35,569,true,8042,8111,4.8,0.4,12,-11,0.07692307
36,585,true,8042,8123,4.4,-0.4,-11,12,-0.1
37,600,true,8042,8111,4.4,-1.2,-3.6666665,4.666667,-0.375
38,616,true,8048,8117,4.4,-1.6,-2.75,3.75,-0.57142854
39,632,true,8042,8117,4.4,-2,-2.2,3.2,-0.8333333
40,647,true,8054,8117,4.4,-1.6,-2.75,3.75,-0.57142854
41,663,true,8054,8117,4.8,-1.2,-4,5,-0.33333334
42,679,true,8048,8123,5.2,-1.2,-4.333333,5.333333,-0.30000004
43,695,true,8048,8111,5.6,-1.2,-4.6666665,5.6666665,-0.2727273
44,711,true,8048,8117,5.6,-1.2,-4.6666665,5.6666665,-0.2727273
45,727,true,8048,8117,5.6,-1.2,-4.6666665,5.6666665,-0.2727273
46,743,true,8054,8117,5.6,-0.8,-7,8,-0.16666669
47,759,true,8054,8111,5.6,-0.4,-14,15,-0.07692308
48,775,true,8054,8117,6,0,inf,-inf,0
49,791,true,8048,8123,6.4,0.4,16,-15,0.05882353
50,807,true,8048,8117,7.2,0.8,9,-7.9999995,0.1
51,823,true,8048,8123,7.6,1.2,6.333333,-5.333333,0.13636364
52,839,true,8054,8123,8,2,4,-3,0.2
53,855,true,8048,8111,8.4,2.8,3,-1.9999999,0.25
54,871,true,8054,8111,8.8,2.8,3.1428573,-2.142857,0.2413793
55,887,true,8048,8123,9.2,3.2,2.875,-1.875,0.25806454
56,903,true,8048,8105,9.2,2.8,3.2857144,-2.2857141,0.23333333
57,919,true,8048,8111,9.2,2.4,3.833333,-2.833333,0.20689656
58,935,true,8048,8123,9.2,2,4.6,-3.6,0.17857143
59,950,true,8054,8111,9.2,1.6,5.75,-4.75,0.14814815
60,966,true,8054,8111,9.2,1.2,7.666666,-6.6666665,0.11538462
61,982,true,8054,8111,9.6,0.8,12,-11,0.07692307
62,998,true,8054,8111,10,0.4,25,-24,0.03846154
63,1014,true,8060,8117,10,0,inf,-inf,0
64,1030,true,8054,8111,10,-0.4,-25,25.999998,-0.041666664
