count,timestamp_ms,aoa_valid,pfd_raw,p45_raw,pfwd_filt,p45_filt,coeff,aoa_raw,aoa_filt
0,0,true,8054,8105,14,-10,-1.4,2.4,-2.5
1,29,true,8060,8105,17,-10,-1.7,2.7,-1.4285715
2,44,true,8065,8105,18,-10,-1.8,2.8,-1.25
3,60,true,8060,8093,18.5,-10,-1.85,2.85,-1.1764706
4,76,true,8065,8093,18.8,-10,-1.8799999,2.8799999,-1.1363637
5,92,true,8060,8105,19,-10,-1.9,2.9,-1.1111112
6,108,true,8065,8105,19.857143,-10,-1.9857143,2.9857144,-1.0144928
7,124,true,8060,8105,19.875,-10,-1.9875,2.9875,-1.0126582
8,140,true,8060,8105,19.88889,-10,-1.988889,2.988889,-1.011236
9,156,true,8065,8099,19.9,-10,-1.99,2.99,-1.0101011
10,172,true,8060,8099,19.90909,-10,-1.990909,2.990909,-1.0091743
11,187,true,8054,8099,19.916666,-10.5,-1.8968253,2.8968253,-1.1150444
12,203,true,8065,8099,19.923077,-10.923077,-1.8239437,2.8239436,-1.2136751
13,219,true,8065,8099,20.285715,-11.285714,-1.7974684,2.7974684,-1.2539681
14,235,true,8060,8111,20.266666,-11.6,-1.7471263,2.7471263,-1.3384616
15,251,true,8060,8123,20.666666,-12,-1.7222222,2.722222,-1.3846155
16,267,true,8054,8105,20.666666,-12,-1.7222222,2.722222,-1.3846155
17,283,true,8060,8111,20.666666,-11.6,-1.781609,2.781609,-1.2794119
18,299,true,8071,8105,20.666666,-11.2,-1.8452381,2.845238,-1.1830987
19,315,true,8065,8105,20.666666,-11.2,-1.8452381,2.845238,-1.1830987
20,346,true,8060,8105,20.666666,-11.2,-1.8452381,2.845238,-1.1830987
21,362,true,8060,8105,20.333334,-11.2,-1.8154763,2.8154762,-1.2262772
22,378,true,8065,8105,20.666666,-11.2,-1.8452381,2.845238,-1.1830987
23,394,true,8065,8105,21,-11.2,-1.875,2.875,-1.1428571
24,409,true,8060,8093,21,-11.2,-1.875,2.875,-1.1428571
25,426,true,8054,8099,21,-11.2,-1.875,2.875,-1.1428571
