count,timestamp_ms,aoa_valid,pfd_raw,p45_raw,pfwd_filt,p45_filt,coeff,aoa_raw,aoa_filt
0,0,true,8060,8134,20,19,1.0526316,-0.05263158,0.4871795
1,17,true,8071,8140,25.5,22,1.1590909,-0.1590909,0.4631579
2,33,true,8060,8134,23.666666,21,1.1269841,-0.12698409,0.47014928
3,48,true,8060,8134,22.75,20.5,1.1097561,-0.1097561,0.47398844
4,64,true,8060,8140,22.2,20.2,1.0990099,-0.099009894,0.4764151
5,80,true,8054,8140,21.833334,21,1.0396826,-0.03968257,0.49027234
6,96,true,8054,8134,21.571428,20.714285,1.0413793,-0.04137934,0.48986486
7,112,true,8060,8140,21.375,21.25,1.0058824,-0.005882353,0.49853373
8,127,true,8060,8140,21.222221,21.666666,0.9794872,0.02051283,0.5051814
9,143,true,8060,8134,21.1,22,0.95909095,0.040909074,0.5104408
10,159,true,8060,8134,21,21.727272,0.9665272,0.033472773,0.50851065
11,175,true,8065,8134,20.916666,21.5,0.9728682,0.027131813,0.50687623
12,190,true,8060,8140,20.846153,21.307692,0.9783394,0.021660645,0.50547445
13,206,true,8060,8129,20.785715,21.142857,0.98310816,0.016891828,0.50425893
14,222,true,8060,8129,20.733334,21,0.9873016,0.012698401,0.50319487
15,238,true,8060,8134,20.733334,21,0.9873016,0.012698401,0.50319487
16,254,true,8060,8134,20,20.6,0.9708738,0.029126232,0.5073892
17,270,true,8054,8134,20,20.6,0.9708738,0.029126232,0.5073892
18,286,true,8054,8129,20,20.6,0.9708738,0.029126232,0.5073892
19,302,true,8065,8140,20,20.6,0.9708738,0.029126232,0.5073892
20,318,true,8060,8140,20,20.2,0.99009895,0.009901027,0.5024876
21,334,true,8060,8134,20,20.2,0.99009895,0.009901027,0.5024876
22,350,true,8054,8134,20,19.8,1.0101011,-0.010101049,0.49748743
23,365,true,8060,8129,20,19.4,1.0309279,-0.030927856,0.49238575
24,381,true,8065,8129,20,19,1.0526316,-0.05263158,0.4871795
25,397,true,8065,8134,20,19,1.0526316,-0.05263158,0.4871795
26,413,true,8065,8129,20.333334,18.666666,1.0892857,-0.08928578,0.47863245
27,429,true,8060,8129,20.666666,18.333334,1.1272726,-0.12727265,0.47008547
28,445,true,8060,8129,21,18,1.1666666,-0.16666667,0.46153846
29,461,true,8065,8129,21.333334,17.666666,1.2075473,-0.20754725,0.45299143
30,477,true,8065,8129,21.666666,17.333334,1.2499999,-0.24999991,0.44444445
31,493,true,8060,8129,21.666666,17,1.2745098,-0.27450976,0.4396552
32,509,true,8060,8134,21.666666,16.666666,1.3,-0.3,0.4347826
33,524,true,8060,8129,21.666666,16.333334,1.3265306,-0.32653052,0.4298246
34,540,true,8060,8134,21.666666,16,1.3541666,-0.35416663,0.4247788
35,556,true,8054,8129,21.666666,15.666667,1.3829787,-0.38297865,0.41964287
