count,timestamp_ms,aoa_valid,pfd_raw,p45_raw,pfwd_filt,p45_filt,coeff,aoa_raw,aoa_filt
0,0,true,8017,8123,177,208,0.85096157,0.14903846,0.5402597
1,31,true,8042,8093,189.5,208,0.9110577,0.088942304,0.5232704
2,63,true,8054,8105,193.66667,202,0.9587459,0.0412541,0.5105307
3,79,true,8048,8158,197.25,203.5,0.96928746,0.03071253,0.5077979
4,94,true,8037,8093,198.2,200.8,0.9870518,0.012948237,0.50325817
5,126,true,8042,8099,198.83333,198,1.0042087,-0.0042087287,0.49895003
6,158,true,8023,8111,199.28572,196.85715,1.0123367,-0.012336731,0.4969347
7,190,true,8030,8099,199,195.25,1.0192062,-0.019206146,0.49524415
8,205,true,8060,8105,198.77777,194,1.0246277,-0.024627686,0.49391797
9,221,true,8030,8111,197.9,193.6,1.0222107,-0.02221068,0.49450833
10,237,true,8060,8105,197.18182,193.27272,1.0202259,-0.020225842,0.4949942
11,270,true,8048,8111,198.08333,193,1.0263385,-0.026338488,0.49350098
12,301,true,8048,8111,198.84616,193.23077,1.0290605,-0.02906052,0.49283892
13,333,true,8017,8111,199.5,193.42857,1.0313885,-0.031388465,0.4922741
14,364,true,8030,8117,200.06667,193.6,1.0334022,-0.033402167,0.4917866
15,380,true,8048,8105,202.13333,192.8,1.0484093,-0.048409376,0.48818365
16,412,true,8048,8093,202.53334,192,1.0548612,-0.054861147,0.4866509
17,444,true,8042,8099,202.53334,192,1.0548612,-0.054861147,0.4866509
18,476,true,8054,8105,202.53334,190.8,1.0614954,-0.06149548,0.48508474
19,508,true,8048,8093,202.93333,190.4,1.0658264,-0.06582637,0.4840678
20,539,true,8030,8117,203.33333,190.4,1.0679271,-0.06792718,0.483576
21,571,true,8048,8111,203.73334,190.4,1.0700281,-0.07002807,0.48308524
22,603,true,8037,8129,204.46666,191.2,1.0693864,-0.06938631,0.48323506
23,635,true,8042,8111,204.8,192,1.0666667,-0.066666685,0.48387098
24,666,true,8042,8111,205.6,192.4,1.0686071,-0.06860714,0.48341706
25,698,true,8030,8129,206.4,192.8,1.0705394,-0.07053937,0.48296592
26,714,true,8048,8111,206,193.2,1.0662526,-0.066252604,0.4839679
27,745,true,8048,8140,205.6,193.2,1.0641823,-0.064182244,0.48445338
28,778,true,8037,8129,205.2,194.4,1.0555556,-0.055555575,0.4864865
29,794,true,8037,8140,204.46666,195.6,1.0453305,-0.04533054,0.48891854
30,810,true,8037,8123,203.73334,196.8,1.0352304,-0.035230357,0.4913449
31,825,true,8048,8105,203,198,1.0252526,-0.025252525,0.4937656
32,841,true,8037,8093,202.66667,199.2,1.017403,-0.017402986,0.4956868
33,857,true,8048,8105,201.93333,199.2,1.0137216,-0.013721573,0.49659297
34,889,true,8017,8129,201.2,199.6,1.008016,-0.008015986,0.49800402
35,921,true,8017,8111,200.46666,200,1.0023333,-0.0023332976,0.49941733
36,953,true,8042,8117,199.73334,200.4,0.99667335,0.0033266293,0.50083303
37,984,true,8037,8111,199,200.4,0.993014,0.006985998,0.5017526
38,1016,true,8023,8093,197.73334,200.4,0.9866933,0.01330667,0.50334895
39,1048,true,8037,8105,197.4,200.4,0.98502994,0.01497006,0.50377077
40,1064,true,8042,8111,197.06667,200.4,0.9833666,0.016633375,0.5041932
41,1079,true,8023,8105,196.73334,200,0.98366666,0.016333314,0.50411695
42,1095,true,8037,8111,196.4,199.6,0.9839679,0.016032124,0.5040404
43,1111,true,8071,8105,196.06667,198,0.9902357,0.009764315,0.5024531
44,1127,true,8037,8111,196.06667,196.8,0.9962737,0.0037263078,0.5009333
45,1143,true,8037,8105,196.06667,195.2,1.00444,-0.004439901,0.4988925
46,1159,true,8042,8087,196.06667,193.6,1.012741,-0.01274101,0.4968349
