count,timestamp_ms,aoa_valid,pfd_raw,p45_raw,pfwd_filt,p45_filt,coeff,aoa_raw,aoa_filt
0,0,true,8106,8152,266,237,1.1223629,-0.12236287,0.47117296
1,30,true,8123,8152,274.5,237,1.1582278,-0.15822785,0.4633431
2,46,true,8106,8140,271.66666,237,1.1462728,-0.14627281,0.465924
3,61,true,8106,8123,270.25,237,1.1402954,-0.14029536,0.46722522
4,77,true,8140,8140,269.4,234.6,1.1483375,-0.14833754,0.4654762
5,93,true,8111,8129,269.66666,233,1.1573676,-0.15736763,0.46352786
6,109,true,8152,8117,269.85715,230.28572,1.1718363,-0.17183621,0.46043986
7,124,true,8129,8170,272.25,228.25,1.1927711,-0.19277108,0.45604396
8,140,true,8140,8146,275.33334,227.88889,1.2081912,-0.20819119,0.45285934
9,156,true,8152,8140,277.8,227.6,1.2205623,-0.22056231,0.4503364
10,172,true,8111,8123,279.81818,227.36363,1.2307078,-0.23070772,0.4482882
11,188,true,8135,8140,281.08334,227.16667,1.2373441,-0.23734412,0.44695854
12,204,true,8111,8134,282.15384,227,1.2429684,-0.24296845,0.44583774
13,220,true,8111,8099,281.35715,226.42857,1.2425867,-0.24258676,0.44591364
14,251,true,8135,8152,280.66666,225.93333,1.2422543,-0.2422543,0.44597974
15,283,true,8135,8152,282.6,225.13333,1.2552562,-0.25525618,0.4434086
16,315,true,8077,8111,281.8,223.93333,1.2584102,-0.2584102,0.44278935
17,347,true,8135,8152,283.73334,223.93333,1.2670438,-0.26704377,0.44110307
18,363,true,8163,8129,285.66666,223.93333,1.2756772,-0.27567723,0.43942964
19,379,true,8152,8140,287.6,223.93333,1.2843108,-0.28431082,0.43776882
20,395,true,8158,8129,290.33334,223.2,1.3007766,-0.30077666,0.43463585
21,426,true,8163,8152,293.46667,223.93333,1.3105091,-0.31050912,0.43280503
22,442,true,8140,8134,295.4,224.26666,1.317182,-0.31718192,0.43155873
23,458,true,8158,8123,296.6,223.86667,1.3248957,-0.3248958,0.43012682
24,490,true,8117,8111,297.8,223.13333,1.334628,-0.334628,0.42833373
25,521,true,8152,8140,298.6,222.73334,1.3406166,-0.34061658,0.42723784
26,553,true,8169,8146,299.73334,222.33333,1.3481259,-0.348126,0.42587155
27,584,true,8169,8134,301.26666,221.93333,1.3574647,-0.35746467,0.4241845
28,616,true,8088,8129,304,221.93333,1.3697807,-0.36978072,0.42197996
29,648,true,8106,8129,306.73334,221.93333,1.3820968,-0.38209674,0.41979823
30,680,true,8106,8134,304.8,221.53334,1.3758651,-0.37586507,0.42089933
31,696,true,8123,8129,304.46667,221.2,1.3764316,-0.37643164,0.42079896
32,712,true,8129,8134,302.53333,219.66667,1.3772382,-0.37723818,0.4206562
33,727,true,8117,8134,301.33334,218.46666,1.3793105,-0.37931043,0.42028984
34,743,true,8129,8129,300.53333,218.06667,1.3781718,-0.37817177,0.42049107
35,759,true,8106,8123,298.6,218.06667,1.3693061,-0.36930606,0.42206448
36,775,true,8071,8134,295.86667,217.66667,1.3592649,-0.3592649,0.42386085
37,790,true,8135,8129,293.13333,217.33333,1.348773,-0.34877303,0.4257542
38,806,true,8129,8123,291.2,217,1.3419355,-0.34193555,0.42699724
39,822,true,8152,8134,289.26666,217,1.333026,-0.33302608,0.42862788
40,838,true,8163,8129,288.13333,216.66667,1.3298461,-0.3298461,0.4292129
41,871,true,8135,8111,287,216.33333,1.3266565,-0.32665643,0.42980134
42,901,true,8135,8134,285.46667,216,1.321605,-0.32160497,0.4307365
