count,timestamp_ms,aoa_valid,pfd_raw,p45_raw,pfwd_filt,p45_filt,coeff,aoa_raw,aoa_filt
0,0,true,8168,8184,328,269,1.2193309,-0.21933086,0.45058626
1,22,true,8056,8160,328,269,1.2193309,-0.21933086,0.45058626
2,38,true,8104,8176,306.66666,266.33334,1.1514392,-0.15143922,0.46480513
3,69,true,8168,8184,312,267,1.1685393,-0.16853933,0.4611399
4,85,true,8200,8192,315.2,267.4,1.1787585,-0.17875849,0.458977
5,101,true,8144,8192,313.33334,267.66666,1.1706103,-0.1706103,0.46069992
6,117,true,8104,8176,312,267.85715,1.1647999,-0.16479999,0.4619364
7,132,true,8104,8160,311,268,1.1604477,-0.16044776,0.46286702
8,148,true,8136,8176,309.33334,267.22223,1.1575884,-0.15758836,0.46348047
9,164,true,8088,8176,304.8,266.6,1.1432858,-0.14328575,0.46657333
10,180,true,8104,8168,301.0909,266.0909,1.131534,-0.131534,0.4691457
11,195,true,8120,8160,298,265,1.1245283,-0.124528304,0.47069272
12,211,true,8080,8168,295.3846,264.07693,1.1185552,-0.11855514,0.47201982
13,227,true,8136,8176,293.14285,263.2857,1.1134021,-0.11340208,0.4731707
14,243,true,8136,8152,292.26666,262.6,1.1129727,-0.112972796,0.47326684
15,259,true,8048,8224,289.06668,261.53333,1.1052767,-0.10527667,0.47499698
16,275,true,8088,8200,283.73334,261,1.0871009,-0.08710091,0.47913352
17,291,true,8128,8176,285.33334,261,1.0932312,-0.0932312,0.47773027
18,307,true,8104,8152,281.06668,260.46667,1.0790888,-0.07908884,0.48097995
19,323,true,8104,8176,276.8,259.93332,1.0648885,-0.06488845,0.48428768
20,339,true,8144,8184,274.13333,259.4,1.0567977,-0.056797754,0.48619267
21,355,true,8128,8200,273.06668,258.86667,1.0548545,-0.054854542,0.48665246
22,371,true,8144,8152,272,258.33334,1.0529032,-0.052903183,0.487115
23,386,true,8104,8144,271.46667,258.33334,1.0508387,-0.0508387,0.48760536
24,402,true,8152,8200,274.13333,258.86667,1.058975,-0.058975004,0.48567855
25,418,true,8104,8152,275.73334,257.26666,1.0717803,-0.07178029,0.48267666
26,434,true,8128,8152,277.33334,256.2,1.0824876,-0.08248763,0.48019496
27,450,true,8104,8192,277.33334,255.13333,1.0870134,-0.08701337,0.4791536
28,466,true,8088,8168,277.33334,255.13333,1.0870134,-0.08701337,0.4791536
29,482,true,8096,8136,276.26666,254.06667,1.0873786,-0.08737863,0.47906977
30,498,true,8112,8176,275.2,254.06667,1.0831803,-0.08318032,0.48003528
31,514,true,8152,8216,276.26666,254.06667,1.0873786,-0.08737863,0.47906977
32,530,true,8080,8152,274.13333,253.53334,1.0812516,-0.08125161,0.4804801
33,562,true,8120,8176,274.66666,253.53334,1.0833552,-0.08335517,0.47999495
34,578,true,8128,8152,275.73334,253.53334,1.0875624,-0.087562434,0.4790276
35,594,true,8056,8152,276.8,251.93333,1.0987033,-0.09870331,0.4764847
36,609,true,8128,8168,276.26666,250.33333,1.1035953,-0.10359521,0.47537664
37,625,true,8104,8152,275.73334,248.73334,1.10855,-0.10854998,0.47425956
38,641,true,8128,8152,275.73334,247.13333,1.1157271,-0.11572703,0.47265074
39,657,true,8080,8176,273.06668,245,1.1145579,-0.114557885,0.47291213
40,674,true,8120,8160,272.53333,245.53334,1.1099646,-0.10996464,0.4739416
41,689,true,8152,8160,272,246.06667,1.1053915,-0.105391495,0.47497106
