count,timestamp_ms,aoa_valid,pfd_raw,p45_raw,pfwd_filt,p45_filt,coeff,aoa_raw,aoa_filt
0,0,true,8112,8120,272,205,1.3268293,-0.32682925,0.4297694
1,29,true,8120,8112,276,205,1.3463415,-0.34634146,0.4261954
2,45,true,8088,8080,274.66666,202.33333,1.3574959,-0.35749587,0.4241789
3,61,true,8168,8080,276,201,1.3731344,-0.37313432,0.42138365
4,77,true,8168,8120,276.8,200.2,1.3826174,-0.38261735,0.4197065
5,93,true,8160,8096,284,197,1.4416244,-0.44162437,0.40956342
6,108,true,8152,8104,289.14285,194.71428,1.4849597,-0.48495966,0.40242103
7,124,true,8088,8144,293,194,1.5103092,-0.5103093,0.3983573
8,140,true,8120,8104,295.1111,193.44444,1.52556,-0.5255601,0.3959518
9,156,true,8112,8088,293.6,193,1.5212436,-0.5212436,0.39662966
10,171,true,8112,8152,291.63635,192.63637,1.5139216,-0.51392156,0.3977849
11,187,true,8104,8104,290,192.33333,1.507799,-0.507799,0.39875606
12,203,true,8128,8088,288.6154,192.07692,1.5026032,-0.5026032,0.3995839
13,234,true,8168,8080,287.42856,190.71428,1.5071161,-0.5071161,0.39886466
14,249,true,8168,8104,287.46667,190.6,1.5082196,-0.50821966,0.39868915
15,281,true,8168,8112,291.2,189.53334,1.5364052,-0.5364052,0.3942588
16,297,true,8128,8136,294.4,188.46666,1.56208,-0.56207997,0.3903079
17,313,true,8120,8144,298.13333,188.46666,1.581889,-0.581889,0.38731334
18,329,true,8120,8128,298.66666,189.53334,1.5758001,-0.5758001,0.38822886
19,344,true,8152,8112,299.2,190.6,1.5697796,-0.56977963,0.38913843
20,360,true,8152,8064,297.06668,192.73334,1.5413352,-0.5413352,0.39349395
21,376,true,8144,8104,296,193.8,1.5273478,-0.52734774,0.39567173
22,392,true,8112,8104,294.93332,193.8,1.5218437,-0.52184373,0.39653528
23,408,true,8120,8088,294.4,193.8,1.5190918,-0.5190918,0.39696845
24,423,true,8120,8104,294.4,193.8,1.5190918,-0.5190918,0.39696845
25,439,true,8136,8104,294.93332,193.8,1.5218437,-0.52184373,0.39653528
26,455,true,8144,8128,295.46667,193.8,1.5245959,-0.5245958,0.39610302
27,471,true,8168,8104,297.06668,193.8,1.5328518,-0.5328518,0.39481187
28,487,true,8160,8104,299.2,194.86667,1.5354089,-0.53540885,0.3944137
29,503,true,8088,8144,300.26666,194.86667,1.5408826,-0.54088265,0.39356402
30,535,true,8120,8080,298.66666,194.86667,1.5326718,-0.53267187,0.39483994
31,551,true,8096,8088,295.46667,194.86667,1.5162505,-0.51625043,0.3974167
32,566,true,8152,8104,292.26666,194.33333,1.5039451,-0.5039451,0.39936978
33,582,true,8088,8104,290.13333,192.73334,1.5053614,-0.50536144,0.399144
34,598,true,8168,8104,289.6,191.13333,1.5151727,-0.5151727,0.397587
35,614,true,8152,8128,291.2,189.53334,1.5364052,-0.5364052,0.3942588
36,645,true,8128,8112,291.73334,189,1.5435627,-0.54356265,0.39314935
37,661,true,8120,8112,290.66666,189.53334,1.5335912,-0.53359115,0.39469665
38,677,true,8128,8080,289.6,190.06667,1.5236759,-0.5236759,0.3962474
39,693,true,8176,8128,290.13333,190.6,1.5222105,-0.5222105,0.3964776
40,709,true,8144,8104,290.66666,191.13333,1.5207534,-0.5207534,0.3967068
41,740,true,8104,8096,291.2,191.13333,1.5235438,-0.52354383,0.39626813
42,756,true,8128,8104,290.66666,191.13333,1.5207534,-0.5207534,0.3967068
43,788,true,8104,8104,289.6,191.13333,1.5151727,-0.5151727,0.397587
44,820,true,8168,8096,288.53333,191.13333,1.5095919,-0.5095919,0.39847118
45,851,true,8160,8072,287.46667,190.6,1.5082196,-0.50821966,0.39868915
46,883,true,8144,8112,289.06668,190.6,1.5166142,-0.5166142,0.39735928
47,899,true,8128,8104,290.66666,190.6,1.5250087,-0.5250086,0.39603823
48,915,true,8128,8104,293.86667,190.6,1.5417978,-0.5417978,0.39342234
49,931,true,8168,8112,295.46667,190.6,1.5501924,-0.55019236,0.39212728
50,947,true,8168,8072,294.93332,190.6,1.547394,-0.5473941,0.39255804
51,963,true,8144,8088,294.4,190.6,1.544596,-0.54459596,0.3929897
52,979,true,8144,8128,295.46667,190.06667,1.5545423,-0.5545423,0.39145955
53,994,true,8144,8080,296.53333,188.46666,1.5733994,-0.57339936,0.38859105
54,1010,true,8128,8088,297.6,186.86667,1.5925794,-0.59257936,0.38571626
55,1042,true,8144,8112,298.66666,185.26666,1.6120907,-0.61209065,0.3828351
